id_str,user,tweet,created
1517031704237678592,detikcom,"b'BEM SI dan buruh bakal menggelar demo di DPR RI. Jelang aksi tampak keamanan telah disiagakan di lokasi, mulai kendaraan taktis hingga water barrier. https://t.co/vao7Uu8h9l'",04/21/2022 06:45:18
1517031446925307904,Ignal Zebua,"b'@sasasayatusa_ Presiden sudah jelas menolak 3 periode, tak perlu diributkan lagi #SayabersamaJokowi'",04/21/2022 06:44:16
1517031440453554179,Lord.Anang,"b'@sasasayatusa_ Wacana Presiden 3 Periode, Jokowi Waspadai hasutan KADRUN #SayaBersamaJokowi #KamiBersamaJokowi'",04/21/2022 06:44:15
1517030467974795264,Faris Ahmad Doni,b'Tidak ada perubahan amandemen UUD 1945 mengenai masa jabatan presiden 3 periode\n\n#3periode #tolakdemomahasiswa #pemilu2024 #PemiluSerentak2024 #pemilu2024siap https://t.co/RGtWgqg887',04/21/2022 06:40:23
1517030323623579653,🙏Saudia__pangria222🙏,"b'@PKSejahtera @PDemokrat terus saja menjadi Provokator dan ngerusuh dgn nyebar HOAX PRESIDEN 3 PERIODE &amp; PENUNDAAN PEMILU. ,  padahal sudah jelas dan FIX PEMILU 14 FEB 2024. https://t.co/Yw6F4NlZQr'",04/21/2022 06:39:48
1517030119789195264,של הנרי,b'@pentestik_007 @BEMUI_Official goblok itu untung gratis tapi ya mbok jgn di borong semua.\n\npresiden sudah tegaskan ga ada 3 periode. pemilu tetap 2024. \n\nmasih ngeyel karena bodoh ga pagam apa karena dana udah cair duluan?\n\ngimana?',04/21/2022 06:39:00
1517028489245106176,Pantau.com,"b'Soal Keinginan Pemilu Ditunda dan Presiden 3 Periode, Megawati Sindir Siapa Ya, Luhut? https://t.co/t5LblZ53Ha'",04/21/2022 06:32:31
1517027970556170241,Akhmad Son,"b'@YRadianto @AgusYudhoyono Masih mainin Isyu, presiden 3 periode...'",04/21/2022 06:30:27
1517027962930929664,izmailtaufq,"b""3 periode jabatan Presiden harus dengan Amandemen UUD'45. Itu tidak mungkin terjadi!\n#pemilu2024 #pemiluserentak #3periode https://t.co/qCeQLeFsgU""",04/21/2022 06:30:26
1517025961682030592,Brigade Soeharto (Founder),"b'@IiiZahrah @Matahari_1912 @IshM73 @ORakyat4 @Nong_Dewintha @LuNaEndelia @RizkiAsihan @_Syazwana2__ @agamlangsa @tegaxdirimu @hendri_donal65 @Dhanny76978950 @setgeldong @JangkrikLampung @yasenosa @bangozie18 @Muslihun_I @amuda_saiful @MurazzaA @RezimSampah @TsaniAnwar @SMujsin @GanisArfianiar @eddie_volkers @naimgoera @panglima_z @bi__sa @matta_2103 @me_kiea_ @CindyBexter @azzah196 @NayoanAngelyca @alamanda_maroon @annourcharity @desita5769 @ISTANA_CLina10 @akunkeenam212 @Bob_eT3k3WeR @miss_kadrun @by_blackangel @Lelaki_5uny1 @Pecel_Lele5678 @RumahGudeg @Srikandi_sunda @_Qirani__Ayara @Stevaniehuangg @DPR_RI @jokowi @jokowi malah terbalik ingin 3 Periode, Kalau @jokowi adalah Presiden yang berkualitas mampu Sejahterakan dan Makmurkan Negeri dan Rakyat nya, mau 10 Periode juga gak Masalah. Kalau smp 10 Periode ada Reformasi lagi, maka kita akan hajar Reformis itu. Rakyat butuh Sejahtera !'",04/21/2022 06:22:28
1517022128805388288,mach,b'@Wongnetral8 @RadenAlfatih3 Dungu ya saat ganti presiden kan 2019 di nyinyirin  sekarang malah belum abis minta namba 3 periode langgar konstitusi bong .. yok fokus berita2 demo mahasiswa melawan kezaliman . DeSi Panglima cebong antek China gak hadir ? https://t.co/wh8odersUa',04/21/2022 06:07:15
1517021542227787776,Yukti Adiputra,b'@Candraasmara85 Bikin muak aja kok para politikus terus aja menggaungkan mengungkit penundaan pemilu kek presiden 3 periode kek kan itu anda2 para politikus melalui partai masing2 punya kewenangan mas itu kok yg diserang Jokowi Jokowi',04/21/2022 06:04:55
1517021519741812736,Wan Bahlul 🇮🇩🇮🇩🇮🇩,"b'Pak Jokowi sudah bilang tidak mau 3 periode.\n\nHak ubah periode presiden itu ada di DPR, dan parpol2 bilang ini cuma usulan diskusi.\n\nYang terus ngomong urusan 3 periode itu AHY dan PD!  Jangan2 yang pengen jadi presiden lagi pak Beye?\n\nhttps://t.co/CEFf3KxceL'",04/21/2022 06:04:49
1517021094867218432,alehandro,b'@BEMUI_Official Nggak ada lagi itu isu 3 periode. Kalian Mahasiswa nggak baca dan dengar pernyataan Presiden ya...jgn2 bohir kalian yg mau 3 periode...\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',04/21/2022 06:03:08
1517020558583828480,Givanet🇮🇩🇮🇩,"b'@Miss_warawiri @geloraco Nafsu pengen jadi presiden tapi rombongan nya malah byk ingin langgar konstitusi dukung Jokowi 3 periode,.. mbuuleetttt'",04/21/2022 06:01:00
1517018562648752128,Wike Himawan,b'@sasasayatusa_ Presiden Joko Widodo sudah menegaskan jika tidak ada jabatan presiden 3 periode',04/21/2022 05:53:04
1517015753102602240,Awan87,"b'@JebuelMania900 Gak semua Rakyat kayak kalian,yg waras masih lebih banyak.\n\n1. Tuntutan kalian tolak 3 periode &amp; penundaan pemilu ? Presiden jawab degan tegas tdk berminat &amp; tdk akan menunda pemilu.\n2. Kalian tuntut Jokowi mundur ? Trus Gantinya siapa, Lewat jalur apa hah \n\nKonyol kalian \xf0\x9f\x98\x82\xf0\x9f\xa4\xa3'",04/21/2022 05:41:54
1517015334355619842,Katadata.co.id,"b'Dugaan Korupsi Ekspor CPO Dikaitkan Isu Presiden 3 Periode, Ada Apa?\n https://t.co/QOVhlUH0CV'",04/21/2022 05:40:15
1517010045523103745,Patih Gutawa 🇮🇩🇮🇩,b'@Candraasmara85 Sampai lebaran kuda selagi Raden Mas Habib AHY belum jadi Presiden maka wacana Presiden 3 periode akan digaungkan terus',04/21/2022 05:19:14
1517008208811859968,Anak_Sungai,"b'@liputan6dotcom Bodoh mu tidak berkesudahan, hei @AgusYudhoyono ... Jauh hari presiden sudah tegaskan tolak 3 periode, namun anda terus mengkampanyekan nya !\nAnda kalah cerdas dari Anak anda.\xf0\x9f\xa4\x94... Anak siapa, ya ??'",04/21/2022 05:11:56
1517007231115743232,Swandy,"b'@Candraasmara85 Kayak nya isu 3 periode presiden ,sengaja di gaungkan partai Demokrat ,padahal sdh jelas Bpk presiden Jokowi ,sdh tidak mau ,yg jd pertanyaan , mereka ingin mengacaukan atau cari pamor di pilpres mendatang.'",04/21/2022 05:08:03
1517006126537375745,Daddy Gembong,b'Yg wanti2 eks napi koruptor\n\nHebatnya PD\n\nSarang....\n https://t.co/uS8a1gq3Ir',04/21/2022 05:03:39
1517004913829588992,20DETIK,b'Rantis Berjejer Jelang Demo Tolak Presiden 3 Periode di DPR https://t.co/5NQJbCQBR8',04/21/2022 04:58:50
1517004015158312960,SOPOAKU,b'@cybsquad_ Yang penting presiden dua kali pret\xe2\x80\xa6hebatnya Jokowi itu bisa bikin stress orang2 dungu dan gila\xf0\x9f\x91\x8d HIDUP JOKOWI 3 PERIODE',04/21/2022 04:55:16
1517003357327482880,°• 🇮🇩MS🇮🇩 •°,"b'\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\n\nSeandainya, MPR DPR mensahkan Presiden Hanya dibatasi 3 Periode dan menjadi Konstitusional dinegara ini  masihkan anda sebut keinginan  Penguasa?\nBukankah itu keinginan rakyat yang direfresentasikan oleh MPR DPR dan DPD?\n\nMental dan Asa yang tertukar. https://t.co/0drV4gehcm'",04/21/2022 04:52:39
1517003112594427904,Juma edi,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\n\nBerdiri Bersama Jokowi\nhttps://t.co/g8pvT9CrLl',04/21/2022 04:51:41
1517002873967906816,Media Netizen Nusantara,b'Isu penundaan pemilu dan perpanjangan jabatan 3 periode Presiden akan terus menggema sampai pelaksanaan pemilu 2024 ?',04/21/2022 04:50:44
1517002792032169984,Lazuardi Yoan Ansori,"b'@em_fajar @dyahwie @RajaJuliAntoni @TsamaraDKI harusnya tinggal bilang: ""kami tidak setuju ada presiden 3 periode, bahkan jika ada amandemen, kami tetap berprinsip utk tidak setuju ada org jadi presiden lebih dari 2 periode""\n\nJokowi juga bisa pake kalimat macam ini. ""amandemen aja suka2 kalian, sy gak mau jadi presiden lagi""'",04/21/2022 04:50:24
1517002679825821696,Mahardiga A,"b'Polemik 3 periode dan perpanjangan masa jabatan Presiden menjadi bahasan hangat. Kepada LaNyalla, KH Muhammad Faisol Anwar mengaku tidak setuju dengan wacana tersebut. \n\n#LaNyalla #Ketuadpdri #jatim'",04/21/2022 04:49:58
1517001398218416130,Nur Cahyani,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nBerdiri Bersama Jokowi\nhttps://t.co/NnZMoVzh6n',04/21/2022 04:44:52
1516999996855697409,Suara Netizen Nusantara,"b'Aksi ini hrs disikapi oleh pejabat tinggi negara, dan hrs ada pernyataan bersama Presiden, Ketua DPR RI dan Ketua MPR RI bhw tdk ada wacana 3 periode Presiden ? https://t.co/ukheT3zh6V'",04/21/2022 04:39:18
1516998216985706502,Eko Purwanto,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nBerdiri Bersama Jokowi\nhttps://t.co/RMDCezmgPl',04/21/2022 04:32:14
1516997542172520448,Ant_,"b'[Presiden ""si Raja Offside"" Indonesia Wajib Didemo Rakyat Untuk 3 Periode]\n\nA thread;\n#21AprilGerakanPeoplePower Jepang #DukungGerakanMahasiswa_Buruh Berdiri Bersama Jokowi Prabowo habib luthfi Habis Gelap Terbitlah Terang Man United TXT KONSEP TUYUL https://t.co/ugwV87n09T'",04/21/2022 04:29:33
1516997534128156672,Reza Frandika,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode- Berdiri Bersama Jokowi - https://t.co/AdO6pcCOah',04/21/2022 04:29:31
1516997523168444417,Cici Alleria,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode- Berdiri Bersama Jokowi - https://t.co/G8492im9Wd',04/21/2022 04:29:28
1516997512691073024,Biawak Gondrong,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode- Berdiri Bersama Jokowi - https://t.co/YgeILKlooq',04/21/2022 04:29:26
1516997502662508544,Dhenny Derangga,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode- Berdiri Bersama Jokowi - https://t.co/w4R4biBYzI',04/21/2022 04:29:23
1516997491136540672,SherlyHusna,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode- Berdiri Bersama Jokowi - https://t.co/gH8uaO0qaP',04/21/2022 04:29:20
1516997244331118592,Moerdianto,b'@__AkhirZaman @NeiskaH @JebuelMania900 Klo goblok jangan sampai permanen makanya baca semua media. Presiden sendiri telah menyampaikan tdk ada 3 periode.',04/21/2022 04:28:22
1516995916674514945,Ekogilidesign,"b'@NarasiNewsroom LUPAKAN\xf0\x9f\x91\x89AA\nTidak PENTING.!!\n\nRakyat sebaiknya FOKUS pada hal PENTING yang harus diperjuangkan:\n\xe2\x80\xa2bagaimana agar kebijakan pemerintah bisa memihak rakyat,\n\xe2\x80\xa2turunkan harga BBM, Migor, Bahan Pokok, PPN, &amp; Listrik,\n\xe2\x80\xa2menolak jabatan presiden 3 periode,\n\xe2\x80\xa2tegakkan HUKUM secara ADIL.'",04/21/2022 04:23:05
1516994959160713216,Bambang Dwi,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nBerdiri Bersama Jokowi\nhttps://t.co/JKMr3w5Akz',04/21/2022 04:19:17
1516994861118885889,Bung,b'Isi tuntutan lu kampungan kalau masih bermain di area wacana : Menolak Penundaan Pemilu dan Menolak Masa Perpanjangan Jabatan Presiden 3 Periode. Karena Jokowi sudah klarifikasi dengan tegas tentang hal ini https://t.co/3c4S66abwU',04/21/2022 04:18:53
1516993188351086592,Bertha,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode | Berdiri Bersama Jokowi #RiauDamai https://t.co/RwjdaTQY0Z',04/21/2022 04:12:15
1516992456990261248,IG: Candraasmara_85,b'Apa yg ada di benak anda klo melihat dia? \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94 https://t.co/LeIvi9I6kW',04/21/2022 04:09:20
1516992330209071105,Frits Rahawarin Rusfeli,"b'Sudah berulangkali pakde @jokowi menyampaikan bahwa tidak ada wacana Presiden 3 Periode. Lalu, nanti setelah memang kenyataan bahwa tidak ada masa jabatan Presiden 3 Periode, para mahasiswa ini akan memberikan statement bahwa mereka yang berhasil menggagalkannya. \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/IRlAyhATT7'",04/21/2022 04:08:50
1516992011114405888,Indah,b'Berdiri Bersama Jokowi\n\nhttps://t.co/CfpSomErS9\n\nTolak pemilu 3 periode',04/21/2022 04:07:34
1516989713936437249,Relawan Demokrasi,"b'Isu penundaan Pemilu dan 3 periode sdh dijawab Presiden, tapi dua orang ini masih saja provokasi aksi yang nanti ujung2nya anarkis lalu mereka cuci tangan\nBerdiri Bersama Jokowi https://t.co/0aNRAiL1iQ'",04/21/2022 03:58:26
1516989706990686208,Relawan Demokrasi,"b'Isu penundaan Pemilu dan 3 periode sdh dijawab Presiden, tapi dua orang ini masih saja provokasi aksi yang nanti ujung2nya anarkis lalu mereka cuci tangan\nBerdiri Bersama Jokowi https://t.co/6mD8wrQEva'",04/21/2022 03:58:25
1516989269809991681,putra renynandi,"b'Isu penundaan Pemilu dan 3 periode sdh dijawab Presiden, tapi dua orang ini masih saja provokasi aksi yang nanti ujung2nya anarkis lalu mereka cuci tangan\nBerdiri Bersama Jokowi https://t.co/te8YEuCuCQ'",04/21/2022 03:56:40
